,Transaction date,House age,Distance to the nearest MRT station,Number of convenience stores,Latitude,Longitude,House price of unit area
0,2012-09-02 16:42:30.519336,13.3,4082.015,8,25.0070586835347,121.561694217708,6.48867313986559
1,2012-09-04 22:52:29.919544,35.5,274.0144,2,25.0121482576502,121.546989844571,24.9707246507222
2,2012-09-05 01:10:52.349449,1.1,1978.671,10,25.0038498628365,121.528336472882,26.6942667687913
3,2012-09-05 13:26:01.189083,22.2,1055.067,5,24.9628870027666,121.48217837539,38.091638492386
4,2012-09-06 08:29:47.910523,8.5,967.4,6,25.0110368202032,121.479946198787,21.6547095988987
5,2012-09-06 14:18:34.142030,13.3,279.1726,2,24.9949935390321,121.543823378185,36.9723757859779
6,2012-09-06 15:07:23.396013,38.5,377.7956,3,25.0098948639372,121.558955290137,27.6373820952976
7,2012-09-07 07:57:25.291322,15.2,552.4371,5,24.9971093438101,121.544377460949,44.116585007819
8,2012-09-07 10:06:48.384148,24.0,617.4424,3,24.9876216824302,121.527841153188,49.0712467463324
9,2012-09-07 13:21:33.254701,13.0,323.655,8,24.9786630373686,121.483457129929,43.1143527472704
10,2012-09-07 20:42:58.363599,13.2,750.0704,5,24.9348959724228,121.553288864048,32.7473626562886
11,2012-09-07 21:36:29.294109,6.5,289.3248,8,24.9930941813379,121.501478179942,60.4603515254385
12,2012-09-08 01:05:20.095597,27.5,49.66105,9,24.9697939870061,121.544776878868,58.163304441213
13,2012-09-09 09:29:47.768544,12.9,373.8389,2,25.0116614324946,121.510671626083,43.7711741944872
14,2012-09-09 17:24:50.129628,8.0,185.4296,5,24.9371970340718,121.545059337793,40.2553334496816
15,2012-09-11 19:06:31.002528,4.9,639.6198,8,24.9754686411264,121.476564397747,49.1570538157169
16,2012-09-12 05:03:03.332710,3.1,1360.139,5,24.9575404413999,121.550592131391,13.673531591941
18,2012-09-12 23:27:33.301004,1.1,143.8383,4,24.9721577932031,121.477005679317,56.2513551836921
19,2012-09-14 06:14:19.030272,13.7,193.5845,1,24.943551278651,121.515410391159,16.4440169435875
20,2012-09-16 01:53:06.000222,8.4,330.0854,6,24.9605818323504,121.497346841029,47.3555509944301
21,2012-09-19 00:48:38.873410,31.3,1236.564,0,24.9570635077195,121.544733694032,8.46885474702285
22,2012-09-19 08:08:21.403851,17.3,837.7233,6,24.9527990336156,121.477153278647,52.7611527463149
23,2012-09-19 16:28:39.921640,14.1,193.5845,6,24.9485640217219,121.488075621202,50.612499525911
24,2012-09-20 04:20:08.912777,1.5,197.1338,0,24.9877757753084,121.477439083807,12.5702764963421
